Keuwl Accelerometer Data File,,,,,,
2025-05-07 20:50:37,,,,,,
,,,,,,
Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
0,-0.486939,-1.113261,9.864411,9.938967,7.022275,246.375473
0.0021472,-0.573081,-1.634896,9.735199,9.888144,10.090444,250.682877
0.0042943,-0.214158,-1.673181,9.993624,10.134985,9.580701,262.706116
0.0064415,-0.654437,-1.816751,9.285348,9.484016,11.748077,250.189774
0.0085886,-0.285942,-1.768894,9.759128,9.922264,10.404105,260.817566
0.0107358,-0.568295,-1.922035,9.208778,9.424371,12.278895,253.528427
0.012883,-0.654437,-1.634896,9.304491,9.469674,10.717316,248.184128
0.0150302,-0.56351,-1.888535,9.716056,9.913922,11.466368,253.385712
0.0171773,-0.34337,-1.984248,9.811769,10.016285,11.598158,260.182312
0.0193245,-0.649651,-1.826322,9.893126,10.081242,11.085906,250.418732
0.0214717,-0.850648,-1.778465,9.529416,9.731203,11.688384,244.437988
0.0236188,-0.678365,-1.96032,9.615558,9.836766,12.173899,250.911911
0.025766,-0.2668,-2.218745,9.491131,9.75067,13.249211,263.143219
0.0279131,-0.309871,-1.979463,9.347562,9.559875,12.09781,261.102966
0.0300603,-0.539581,-2.44367,9.247063,9.57971,15.143226,257.548431
0.0322074,-0.290728,-2.084747,9.15135,9.390309,12.953433,262.061035
0.0343546,-0.458226,-2.194817,9.026923,9.301211,13.949047,258.207397
0.0365018,-0.333799,-2.185245,9.012567,9.279713,13.781369,261.315125
0.038649,-0.620937,-1.974677,9.165708,9.396547,12.726284,252.544235
0.0407961,-0.434297,-1.744966,9.428918,9.598855,10.797291,256.023865
0.0429433,-0.386441,-1.232902,9.543773,9.630835,7.709888,252.596924
0.0450905,-0.611366,-1.338186,9.443274,9.557193,8.855256,245.446152
0.0472376,-0.53001,-1.204188,9.548559,9.638774,7.845202,246.24382
0.0493848,-0.539581,-0.964906,10.366904,10.425684,6.086985,240.785797
0.0515319,-0.726222,-1.280758,10.768898,10.869081,7.785228,240.445694
0.0536791,-1.066002,-0.998405,10.563115,10.66361,7.872228,223.124573
0.0558262,-0.439083,-0.543769,11.123036,11.144973,3.595428,231.079788
0.0579734,-1.056431,-0.122632,10.989038,11.040382,5.527865,186.621353
0.0601206,-0.879362,-0.797408,9.672985,9.745552,6.996389,222.201828
